experiment,training_corpus,test_corpus,comparison,n_train_participants,n_test_participants,n_ASD,n_control,model,feature_family,imbalance_strategy,AUROC,AUROC_95CI,AUPRC,sensitivity,sens_95CI,specificity,spec_95CI,balanced_accuracy,bacc_95CI,precision,F1,MCC,Brier
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,32,16,16,Dummy,all_canonical,class_weight,0.375,"(0.308, 0.456)",0.4531,0.375,"(0.273, 0.494)",0.375,"(0.274, 0.483)",0.375,"(0.308, 0.456)",0.375,0.375,-0.25,0.625
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,32,16,16,Elastic-Net,all_canonical,class_weight,0.6234,"(0.535, 0.712)",0.6525,0.5875,"(0.493, 0.695)",0.55,"(0.44, 0.654)",0.5688,"(0.497, 0.648)",0.5663,0.5767,0.1376,0.2581
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,32,16,16,Random Forest,all_canonical,class_weight,0.5406,"(0.455, 0.63)",0.5295,0.5625,"(0.456, 0.673)",0.5625,"(0.439, 0.674)",0.5625,"(0.491, 0.64)",0.5625,0.5625,0.125,0.2649
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,32,16,16,HistGradientBoosting,all_canonical,class_weight,0.5454,"(0.457, 0.636)",0.5176,0.625,"(0.527, 0.731)",0.5,"(0.388, 0.609)",0.5625,"(0.494, 0.637)",0.5556,0.5882,0.126,0.3987
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,32,9,23,Dummy,all_canonical,class_weight,0.4773,"(0.396, 0.567)",0.2729,0.3111,"(0.17, 0.456)",0.6435,"(0.555, 0.729)",0.4773,"(0.396, 0.567)",0.2545,0.28,-0.043,0.45
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,32,9,23,Elastic-Net,all_canonical,class_weight,0.3946,"(0.292, 0.505)",0.2436,0.3556,"(0.213, 0.49)",0.5478,"(0.458, 0.643)",0.4517,"(0.368, 0.535)",0.2353,0.2832,-0.0879,0.3168
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,32,9,23,Random Forest,all_canonical,class_weight,0.3241,"(0.223, 0.429)",0.2228,0.1111,"(0.027, 0.209)",0.8348,"(0.769, 0.903)",0.4729,"(0.422, 0.529)",0.2083,0.1449,-0.0681,0.2623
Nadig Within-Corpus,Nadig,Nadig,ASD vs TD,32,32,9,23,HistGradientBoosting,all_canonical,class_weight,0.3306,"(0.227, 0.455)",0.2443,0.2222,"(0.105, 0.353)",0.6522,"(0.561, 0.738)",0.4372,"(0.367, 0.511)",0.2,0.2105,-0.1218,0.4475
Eigsti ASD vs DD,Eigsti,Eigsti,ASD vs DD,32,32,16,16,Dummy,all_canonical,class_weight,0.4375,"(0.358, 0.519)",0.4727,0.4375,"(0.327, 0.547)",0.4375,"(0.327, 0.54)",0.4375,"(0.358, 0.519)",0.4375,0.4375,-0.125,0.5625
Eigsti ASD vs DD,Eigsti,Eigsti,ASD vs DD,32,32,16,16,Elastic-Net,all_canonical,class_weight,0.773,"(0.696, 0.842)",0.7809,0.7,"(0.595, 0.796)",0.6625,"(0.553, 0.763)",0.6812,"(0.606, 0.75)",0.6747,0.6871,0.3628,0.2006
Eigsti ASD vs DD,Eigsti,Eigsti,ASD vs DD,32,32,16,16,Random Forest,all_canonical,class_weight,0.7141,"(0.635, 0.794)",0.6994,0.6375,"(0.541, 0.726)",0.65,"(0.538, 0.752)",0.6438,"(0.568, 0.716)",0.6456,0.6415,0.2875,0.2168
Eigsti ASD vs DD,Eigsti,Eigsti,ASD vs DD,32,32,16,16,HistGradientBoosting,all_canonical,class_weight,0.7197,"(0.649, 0.792)",0.6919,0.575,"(0.465, 0.685)",0.675,"(0.576, 0.78)",0.625,"(0.544, 0.696)",0.6389,0.6053,0.2513,0.344
Eigsti TD vs DD,Eigsti,Eigsti,TD vs DD,32,32,0,32,Dummy,all_canonical,class_weight,0.3875,"(0.317, 0.471)",0.4564,0.3875,"(0.289, 0.494)",0.3875,"(0.282, 0.506)",0.3875,"(0.317, 0.471)",0.3875,0.3875,-0.225,0.6125
