feature,elastic_net_coef,elastic_net_odds_ratio,rf_gini_importance,rf_permutation_importance_mean,rf_permutation_importance_std
question_ratio,-0.6219077799709272,0.5369191363067662,0.13370955134547566,0.004375,0.010843344733060919
mluw,0.0,1.0,0.11882485041688914,0.013125,0.015423703349066332
mlu,-0.07357118749481963,0.929070005271171,0.1164328324771184,0.005625,0.025533372769769372
ttr,0.2787086555127241,1.3214222986797823,0.10314766414828001,0.015,0.016817030058842136
unintelligible_ratio,0.21404638653815522,1.2386801115430883,0.08884942104885679,-0.00375,0.02391390808713624
total_words,-0.12033621957907942,0.8866222868259717,0.08097914687550424,-0.013125,0.015423703349066332
echolalia_count,0.6053980764834181,1.8319813324391798,0.07990812496588316,-0.01,0.0211394181566097
echolalia_ratio,0.0,1.0,0.07746180610586455,-0.00125,0.01648863244784115
unintelligible_count,0.5556089523709361,1.7430020669082356,0.06682189188165598,-0.0025,0.016345871038277525
total_utterances,0.0,1.0,0.06599012152510746,-0.015,0.016817030058842136
nonverbal_vocalization_count,-0.18408279277963074,0.8318669284002319,0.05604325742757083,0.00375,0.020386883037875114
pronoun_reversal_count,-0.002994559759202447,0.9970099194626586,0.01183133178179397,0.0,0.0
zero_vocalization_count,0.0,1.0,0.0,0.0,0.0
