experiment,training_corpus,test_corpus,comparison,n_participants,n_pos,n_neg,model,feature_set,n_features,AUROC,AUROC_95CI,AUPRC,balanced_accuracy,bacc_95CI,sensitivity,sens_95CI,specificity,spec_95CI,F1,Brier
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Elastic-Net,V1_only,13,0.6234,"(0.434, 0.785)",0.6525,0.5688,"(0.424, 0.705)",0.5875,"(0.4, 0.769)",0.55,"(0.318, 0.769)",0.5767,0.2581
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Random Forest,V1_only,13,0.564,"(0.389, 0.731)",0.5366,0.5312,"(0.393, 0.664)",0.575,"(0.38, 0.757)",0.4875,"(0.294, 0.678)",0.5509,0.2614
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,HistGradientBoosting,V1_only,13,0.5454,"(0.402, 0.688)",0.5176,0.5625,"(0.46, 0.669)",0.625,"(0.46, 0.787)",0.5,"(0.368, 0.633)",0.5882,0.3987
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Dummy,V1_only,13,0.375,"(0.277, 0.481)",0.4531,0.375,"(0.277, 0.481)",0.375,"(0.214, 0.546)",0.375,"(0.24, 0.525)",0.375,0.625
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Elastic-Net,V2_only,8,0.4798,"(0.309, 0.64)",0.6035,0.475,"(0.338, 0.613)",0.3625,"(0.169, 0.567)",0.5875,"(0.371, 0.779)",0.4085,0.2764
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Random Forest,V2_only,8,0.3498,"(0.21, 0.512)",0.4242,0.3812,"(0.273, 0.504)",0.425,"(0.253, 0.62)",0.3375,"(0.2, 0.486)",0.4072,0.3054
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,HistGradientBoosting,V2_only,8,0.3805,"(0.255, 0.524)",0.4469,0.4062,"(0.307, 0.518)",0.4625,"(0.32, 0.617)",0.35,"(0.211, 0.506)",0.4379,0.5513
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Dummy,V2_only,8,0.375,"(0.277, 0.481)",0.4531,0.375,"(0.277, 0.481)",0.375,"(0.214, 0.546)",0.375,"(0.24, 0.525)",0.375,0.625
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Elastic-Net,V1_plus_V2,21,0.608,"(0.439, 0.761)",0.6359,0.5875,"(0.444, 0.715)",0.5375,"(0.35, 0.711)",0.6375,"(0.423, 0.829)",0.5658,0.2733
Eigsti Within-Corpus,Eigsti,Eigsti,ASD vs TD,32,16,16,Random Forest,V1_plus_V2,21,0.5622,"(0.397, 0.728)",0.525,0.5625,"(0.437, 0.686)",0.6875,"(0.492, 0.853)",0.4375,"(0.267, 0.614)",0.6111,0.2607
